UniProt,MitoCarta3.0_SubMitoLocalization
Q9BSF4,MIM
Q9NVS9,Matrix
Q8IYU8,MIM
Q9H0N5,unknown
Q9H0R6,Matrix
Q86TW2,unknown
P30041,unknown
Q9BPW8,Matrix
P41250,Matrix
Q08AH3,Matrix
Q9BSK2,MIM
A8MSI8,unknown
Q969Q5,MOM
Q7L3T8,Matrix
Q86TS9,Matrix
Q9Y606,Matrix
P00505,MIM
Q8IW45,MIM
P03897,MIM
Q96QU6,unknown
Q9Y3E5,MOM
Q32NB8,MIM
Q8N573,MOM
Q5VWZ2,unknown
Q9NX36,unknown
Q05932,Matrix
Q6UW68,Membrane
Q5H9E4,MIM
Q96NN9,MIM
P10620,Membrane
Q9UDX5,Membrane
Q9NYJ1,IMS
Q9GZT8,Matrix
Q8N0Z8,Matrix
Q96GA7,unknown
Q07812,MOM
Q7Z434,MOM
Q9H7H0,Matrix
O00763,MOM
P78540,Matrix
Q9NVV4,Matrix
Q96ER9,MIM
Q9HAC7,Matrix
O00429,MOM
O43847,Matrix
Q8IUX1,MIM
Q96CB9,Matrix
Q9H6R3,Matrix
Q96KR6,MIM
Q8N0V3,Matrix
Q6UB28,Matrix
O43865,MOM
Q9UFN0,Matrix
Q5VT66,MOM
Q8IVP5,MOM
P33121,MOM
Q5RI15,MIM
Q3SXM5,unknown
O75828,Matrix
Q7Z6M4,Matrix
A8MXV4,Matrix
Q9NRV9,IMS
Q8WUK0,MIM
Q96HS1,MOM
P23919,Matrix
Q15046,Matrix
P49675,MOM|IMS
Q96DA6,MIM
P00480,Matrix
O14548,MIM
Q96E29,Matrix
Q96NB2,MIM
P49327,IMS
Q9BXM7,MOM
Q53S58,MIM
Q16881,unknown
Q8IYQ7,Matrix
P14324,MIM
Q13907,Matrix
Q13472,Matrix
Q8N4E7,Matrix
Q9BYZ2,Matrix
Q15390,Membrane
Q9BXK5,MOM
Q7L0Y3,Matrix
O00154,Matrix
Q8WVM0,Matrix
P84085,unknown
Q9NWR8,MIM
Q96RR1,Matrix
Q9H3L0,Matrix
Q96C36,Matrix
Q8NFU3,unknown
O43325,unknown
Q9BXW6,unknown
O94761,Matrix
P0DJ07,MIM
Q8TB36,MOM
Q9H2K0,Matrix
P13051,Matrix
Q6IB77,Matrix
Q96AB3,Matrix
P05496,MIM
P09417,Matrix
Q96D53,MIM
A4D1E9,Matrix
P30536,MOM
P02794,unknown
Q9NXH9,Matrix
Q7Z695,MIM
H0UI37,unknown
P82909,Matrix
Q9P2J9,Matrix
Q9NUQ2,MOM
Q9BUT9,unknown
P55851,MIM
Q9NYZ2,MIM
Q96A46,MIM
Q6ZT89,MIM
Q8WUT9,MIM
Q6Q0C1,MIM
Q8N5S1,MIM
Q6PIV7,MIM
P34913,unknown
Q9UKK9,unknown
Q9BPX6,MIM
P00441,IMS
Q9H4I8,unknown
Q9BU61,MIM
Q53S33,Matrix
Q56VL3,unknown
Q9HA92,MIM
Q9BRQ6,MIM
Q9NYY8,Matrix
O96011,Membrane
Q96B77,MIM
Q9H611,Matrix
P07148,unknown
P33897,Membrane
O94903,Matrix
P07108,unknown
Q8TCS8,Matrix|IMS
Q969P6,Matrix
O60930,Matrix
Q8IUA7,Membrane
P22307,MIM
Q86UY8,Matrix
P56277,IMS
P07195,unknown
P58557,Matrix
P49773,unknown
Q969V5,MOM
O00142,Matrix
Q9BSE5,Matrix
Q5EBM0,Matrix
P55957,MOM
P36404,IMS
P57105,MOM
Q9GZY8,MOM
Q7Z4W1,Matrix
Q9BW91,Matrix
Q9UHK6,Matrix
Q5THJ4,MOM
P53370,Matrix
Q9NW81,MIM
Q9UI43,Matrix
Q16611,MOM
Q02127,MIM
P27338,MOM
O14880,MOM
Q9NPH0,IMS
Q96GC5,Matrix
P21549,Matrix
P00387,MOM
Q9NUL7,Matrix
Q8N490,MIM
Q86XE3,MIM
Q12983,MOM
Q5HYI7,MOM
Q9UIF7,Matrix
O43824,Matrix
P05108,MIM
Q9NX40,MOM
Q9H825,Matrix
Q8N5G0,MIM
Q96CM3,Matrix
Q96KF7,MOM
O75414,Matrix
Q14318,MOM
P0C7M7,Matrix
Q86UT6,Matrix
Q96CU9,MIM
Q9H5Q4,Matrix
Q8N3J5,Matrix
Q06055,MIM
P03886,MIM
Q16635,IMS
Q8IXL7,unknown
Q8WXI4,Matrix
Q9BS92,Matrix
P78549,unknown
Q9NX47,MOM
Q6P4A7,MIM
Q32P41,Matrix
P12236,MIM
Q3SY17,MIM
O15527,Matrix
A6NK06,Matrix
Q9BXR0,Matrix
Q9BRQ8,Membrane
P32119,unknown
Q9UKA2,IMS
Q9HCL2,Membrane
Q99766,MIM
Q96TC7,MOM
Q9BRX8,Membrane
Q96IX5,MIM
Q6UWS5,MIM
P21397,MOM
A6NNL5,Matrix
O75417,Matrix
Q9BYV7,MIM
P40305,Membrane
Q08257,Matrix
P32322,Matrix
Q9NVH6,Matrix
Q15388,MOM
Q86U90,Matrix
Q96BR5,IMS
Q13268,Matrix
Q8IVH4,Matrix
Q9NQG6,MOM|Matrix
Q9C002,Membrane
P49916,Matrix
O60238,MOM
Q7L8L6,Matrix
Q99497,MOM
Q9GZY4,MIM
Q8TF08,MIM
P03901,MIM
Q9Y6E7,Matrix
Q9BRT2,MIM
Q70CQ3,MOM
