UniProt,MitoCarta3.0_SubMitoLocalization
E9QLN8,Matrix
Q9CR76,MIM
Q9Z210,Membrane
Q9JKX6,unknown
P08228,IMS
P51557,MOM | IMS
Q8K013,Matrix
Q14DH7,Matrix
Q3URS9,MIM
Q9R0X4,MIM
Q9JKL4,MIM
Q8R123,Matrix
Q5SWU9,Matrix
Q91WN4,MOM
Q8R3J4,Matrix
Q4KMM3,MOM
Q8BVU5,Matrix
Q8BH55,Matrix
Q922Q4,Matrix
P70349,unknown
A2ADF7,MIM
Q8BW66,MIM
Q8R0Z5,MIM
A2A3V2,MIM
Q6IS41,MIM
Q8BVN7,MIM
B1AUS6,Membrane
Q920G8,MIM
P70406,MIM
Q8CAV0,Matrix
O08760,Matrix
Q5FW57,unknown
P12710,unknown
Q9DCL4,Matrix
Q9CPW9,Matrix
P16125,unknown
Q3UN90,unknown
Q9CW42,MOM
Q75NR7,Matrix
Q9Z2Y8,Matrix
Q8VCM5,MOM
Q8CH40,Matrix
Q99MQ3,MOM
B1ART2,MOM
Q9D7K5,MIM
Q8VCX5,MIM
Q3UHB1,Matrix
G3X8S9,Matrix
O70157,Matrix
O09174,Matrix
Q9D0C4,Matrix
Q9CTY5,MIM
Q69ZP3,MIM
P23589,Matrix
O35980,unknown
Q9D0J4,IMS
Q9D6K5,MOM
A2AUU0,Matrix
B9EJ57,Matrix
Q5SUV1,MIM
Q920E5,MIM
Q9CRD0,MOM
Q8C725,MIM
Q80W40,Matrix
O88425,Matrix
Q80SW1,MOM
Q9CQQ0,MOM
P58044,Matrix
D3YTP3,MOM
Q9D1R1,MIM
O55003,MOM
O35465,MOM
Q9CQB2,unknown
Q8CEI1,Matrix
Q8K1R3,Matrix|IMS
Q3TIU4,Matrix
Q3UN04,MOM
Q3TL26,Matrix
Q99N84,Matrix
Q8BW75,MOM
Q9CYH2,Membrane
Q9CPU4,MOM
O35435,MIM
Q8JZS9,Matrix
O88741,MOM
O08734,MOM
P03888,MIM
Q9D8W7,unknown
I7HJS2,IMS
Q91X52,Matrix
Q9JM54,MOM
Q9CQE1,Matrix
Q8C7H1,Matrix
Q9QZ82,MIM
Q8BUE4,Membrane
Q3KNM2,MOM
Q61171,unknown
Q925N1,MIM
Q8C6G0,Membrane
Q8K449,Membrane
Q9CWT6,Matrix
Q91V12,Matrix
Q8BU85,unknown
Q0VG49,Matrix
Q9D1E8,MOM
P54987,Matrix
Q8BH70,IMS
Q9D5H4,Matrix
Q61586,Membrane
Q9JMA2,Matrix
Q8K248,unknown
P85094,Matrix
Q3TG86,MIM
P15539,MIM
P0DJF2,MIM
Q149L0,Matrix
Q8BTW8,Matrix
Q78PY7,unknown
Q9DCN2,MOM
Q64133,MOM
Q6PCP5,MOM
Q3TL44,Matrix
Q7TPD2,Matrix
Q8BGV8,MOM | Matrix
Q921H9,IMS
Q8VHQ9,Matrix
A2ADA5,Matrix
Q8CGS6,Matrix
Q9CRA7,MIM
Q3UJU9,MOM
Q78IK2,MIM
Q9DCC8,MOM
Q9Z2F7,MOM
Q3TY86,MIM
Q8BGX2,MIM
Q8BXN7,Matrix
Q8R216,Matrix
Q99LX0,MOM
Q8CHZ9,Matrix
P03903,MIM
Q810Q5,Membrane
Q9CQY6,MIM
Q9WV85,MOM
Q3U6U5,Matrix
Q9CQJ0,Matrix
P05132,MIM
Q8BK03,MOM
Q8VI64,Membrane
P97287,MOM
Q9JK81,Matrix
Q80ZM3,Matrix
Q99P21,Matrix
Q7TMV3,Matrix
Q9DCL9,Matrix
Q8BGD5,MOM
Q9CYF5,Matrix
Q501J2,MIM
Q8K2T4,MIM
O08807,IMS
Q922W5,Matrix
P47199,Matrix
Q8K1C0,Matrix
Q9CXC3,Matrix
Q8K4X7,MOM
Q8BIG7,Membrane
Q8BZL1,MOM
O35084,MIM
O35710,Matrix
Q9CYW4,Matrix
Q925Q3,MIM
P03925,MIM
Q9CQ00,MIM
Q99NF1,MIM
Q80VL1,Membrane
Q91XR9,MIM
O88587,Membrane
Q8VED8,Membrane
O70337,MOM
Q80ZH7,Matrix
P97784,unknown
Q91WG3,Matrix
Q9D4V6,MOM
Q3TC33,Membrane
Q3U5F4,Matrix
Q8C167,Matrix
Q5SV80,MOM
Q9CY52,Matrix
Q80SX8,Matrix
Q9CQT9,MIM
Q9CZX2,IMS
Q32MW3,Matrix
Q9D4J1,MIM
P70444,MOM
Q9D1Z3,MIM
Q64441,MIM
P97363,Membrane
P28352,Matrix
Q8BN57,Matrix
Q9ESW4,MIM
Q9D7B1,Matrix
Q3U4S0,IMS
Q9QZM2,Matrix
Q14DK4,MOM
Q9CYG7,MOM
Q9JIZ9,MIM
Q61576,IMS
Q8VEG4,Matrix
Q64373,MOM
Q9CRA5,IMS
Q91X76,Matrix
Q9D0L7,MOM
P0CB42,Matrix
O88845,MOM
Q3U213,MOM
P28661,MOM
Q8BSN9,Matrix
O54918,MOM
P97432,IMS
P47968,Matrix
O35425,MOM
Q4QQM5,MOM
Q8JZY4,Matrix
Q9D0I4,MOM
Q6P1E7,Matrix
Q6ZQJ5,Matrix
Q8C0T9,Membrane
Q8C0F9,unknown
Q5NCS9,MOM
Q8CCT7,Matrix
Q8C7D3,Matrix
Q9DAR2,Matrix
Q9JIA7,MIM
Q9WVS6,MOM
Q1HFZ0,Matrix
Q8C1W2,unknown
P54265,MOM
Q8C3Q9,IMS
O89110,MOM
P70677,IMS
P70345,MOM
Q9Z0F3,MOM
O55179,MOM
P10417,MOM
Q61337,MOM
Q3TYK5,MIM
Q80YT5,Matrix
Q9D3P8,Membrane
Q5SWZ9,MOM
Q99ML1,MOM
Q9D245,MOM
Q9D9H8,Matrix
D3YTL8,MOM
Q9CX83,MOM
Q6A058,Membrane
Q8K3A6,Membrane
Q3UGX3,Membrane
Q6NSW3,MIM
Q3U034,Matrix
Q8BHS6,MOM
Q9ERB0,IMS
Q8K409,Matrix
,Matrix
A0A5F8MPY0,MOM
